ticker,date,family,classification,reason
1216,2026-01-01,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1216,2026-02-12,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1216,2026-02-13,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1216,2026-02-16,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1216,2026-02-17,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1216,2026-02-18,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1216,2026-02-19,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1216,2026-02-20,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1216,2026-02-27,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1301,2026-01-01,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1301,2026-02-12,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1301,2026-02-13,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1301,2026-02-16,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1301,2026-02-17,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1301,2026-02-18,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1301,2026-02-19,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1301,2026-02-20,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1301,2026-02-27,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1303,2026-01-01,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1303,2026-02-12,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1303,2026-02-13,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1303,2026-02-16,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1303,2026-02-17,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1303,2026-02-18,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1303,2026-02-19,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1303,2026-02-20,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
