capture_id,phase,method,url,status,http_status,content_type,request_headers,post_body,response_path,response_sha256,date_field_detected,holdings_date,row_count,error
sitca_live_in2421,network,GET,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,http_ok,200,text/html; charset=utf-8,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36""}",,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629\raw_sources\sitca_live_in2421_0.html,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,0,
sitca_live_in2421,network,GET,https://www.sitca.org.tw/WDataStyle.css,http_ok,200,text/css,"{""referer"": ""https://www.sitca.org.tw/ROC/Industry/IN2421.aspx"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36""}",,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629\raw_sources\sitca_live_in2421_1.html,389fd22b61503b676e1d03ddc61fb4ceb38dde79298c2e5b4fa8725b14d306be,,,0,
sitca_live_in2421,network,GET,https://www.sitca.org.tw/css/mod_settings.css,http_ok,200,text/css,"{""referer"": ""https://www.sitca.org.tw/ROC/Industry/IN2421.aspx"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36""}",,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629\raw_sources\sitca_live_in2421_2.html,75e1e28046223e4973e410cbb616679edf1e58fd709173c2a22c71ba1c8e4db6,,,0,
sitca_live_in2421,network,GET,https://www.sitca.org.tw/css/menu.css,http_non_ok,404,text/html,"{""referer"": ""https://www.sitca.org.tw/ROC/Industry/IN2421.aspx"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36""}",,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629\raw_sources\sitca_live_in2421_3.html,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,0,
sitca_live_in2421,network,GET,https://www.sitca.org.tw/lib/tablerow.js,http_ok,200,application/x-javascript,"{""referer"": ""https://www.sitca.org.tw/ROC/Industry/IN2421.aspx"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36""}",,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629\raw_sources\sitca_live_in2421_4.html,1f7a983c0ad964ab0f6ac465b74e6c57454ca7f5d5dea23158976a2cb6da438e,,,0,
sitca_live_in2421,network,GET,https://www.sitca.org.tw/css/table1.css,http_ok,200,text/css,"{""referer"": ""https://www.sitca.org.tw/ROC/Industry/IN2421.aspx"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36""}",,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629\raw_sources\sitca_live_in2421_5.html,06e11187bf9970e707f341c0d2ceb308c05671628448b2ebc12fcf2582fda79f,,,0,
sitca_live_in2421,network,GET,https://www.sitca.org.tw/css/layout1.css,http_ok,200,text/css,"{""referer"": ""https://www.sitca.org.tw/ROC/Industry/IN2421.aspx"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36""}",,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629\raw_sources\sitca_live_in2421_6.html,223660a710db745197b6ba170919fa9a239fcb7f238e7b58704d9d141acbedaa,,,0,
sitca_live_in2421,network,GET,https://www.sitca.org.tw/Common/popcalendarfordata.htm,http_ok,200,text/html,"{""referer"": ""https://www.sitca.org.tw/ROC/Industry/IN2421.aspx"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36""}",,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629\raw_sources\sitca_live_in2421_7.html,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,0,
sitca_live_in2421,network,GET,https://www.sitca.org.tw/image/Bt_query.gif,http_ok,200,image/gif,"{""referer"": ""https://www.sitca.org.tw/ROC/Industry/IN2421.aspx"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36""}",,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629\raw_sources\sitca_live_in2421_8.html,9c81bf0c05a596306946b546a1dcaf7a466c0452855700c4d4b20d34420d4536,,,0,
sitca_live_in2421,network,GET,https://www.sitca.org.tw/image/arrowd.gif,http_ok,200,image/gif,"{""referer"": ""https://www.sitca.org.tw/ROC/Industry/IN2421.aspx"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36""}",,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629\raw_sources\sitca_live_in2421_9.html,6ec6da1f83c875b692d1121ce55767d38b13666b69e09797479fb3b0024e1095,,,0,
