candidate_id,period,source_html_snapshot,source_html_file,href,original_pdf_url,evidence_type,keyword_hit,text_near
2014Q4_yuantaetfs_ratio_20220526044621_3,2014Q4,https://web.archive.org/web/20220526044621id_/https://www.yuantaetfs.com/product/detail/0050/ratio,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_ratio_20220526044621__product_detail_0050_ratio.html,https://www.yuantaetfs.com/tradeInfo/pcf/0050,https://www.yuantaetfs.com/tradeInfo/pcf/0050,html_attr,true," 持股比重 </a></div><div data-v-361b1b46 data-v-538a453a><a href=""/tradeInfo/pcf/0050"" target=""_blank"" data-v-538a453a> 申購買回清單 </a></div><div data-v-361b1b46 data-v-538a453a><a da"
2014Q4_yuantaetfs_ratio_20220526044621_4,2014Q4,https://web.archive.org/web/20220526044621id_/https://www.yuantaetfs.com/product/detail/0050/ratio,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_ratio_20220526044621__product_detail_0050_ratio.html,https://www.yuantaetfs.com/product/detail/0050/PD,https://www.yuantaetfs.com/product/detail/0050/PD,html_attr,true," 基金配息 </a></div><div data-v-361b1b46 data-v-538a453a><a href=""/product/detail/0050/PD"" target="""" data-v-538a453a> 參與券商/流動量券商 </a></div><div data-v-361b1b46 data-v-538a453a><a href"
2014Q4_yuantaetfs_ratio_20220526044621_5,2014Q4,https://web.archive.org/web/20220526044621id_/https://www.yuantaetfs.com/product/detail/0050/ratio,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_ratio_20220526044621__product_detail_0050_ratio.html,https://www.yuantaetfs.com/product/detail/0050/download,https://www.yuantaetfs.com/product/detail/0050/download,html_attr,true," 參與券商/流動量券商 </a></div><div data-v-361b1b46 data-v-538a453a><a href=""/product/detail/0050/download"" target="""" data-v-538a453a> 檔案下載 </a></div></div></div> <!----></div></div> <div class=""produ"
2014Q4_yuantaetfs_ratio_20220526044621_6,2014Q4,https://web.archive.org/web/20220526044621id_/https://www.yuantaetfs.com/product/detail/0050/ratio,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_ratio_20220526044621__product_detail_0050_ratio.html,https://mis.taifex.com.tw/futures/RegularSession/EtfProducts/Futures,https://mis.taifex.com.tw/futures/RegularSession/EtfProducts/Futures,html_attr,true,"d"" data-v-4dc52081><span class=""d-md-none"" data-v-4dc52081>商品名稱</span> <a href=""https://mis.taifex.com.tw/futures/RegularSession/EtfProducts/Futures"" data-v-4dc52081> 台灣50ETF股票期貨</a></div><div class=""td"" data-v-4dc52081><span class=""d-md-no"
2014Q4_yuantaetfs_ratio_20220526044621_7,2014Q4,https://web.archive.org/web/20220526044621id_/https://www.yuantaetfs.com/product/detail/0050/ratio,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_ratio_20220526044621__product_detail_0050_ratio.html,https://www.yuantaetfs.com/product/detail/0050/\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF申購撤回申請書.pdf,https://www.yuantaetfs.com/product/detail/0050/\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF申購撤回申請書.pdf,quoted_pdf,true,"leListData:[{Name:""ETF申購撤回申請書"",EName:""Subscription Withdrawal Application"",Url:""https:\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF申購撤回申請書.pdf""},{Name:""ETF買回撤回申請書"",EName:""Buyback with"
2014Q4_yuantaetfs_ratio_20220526044621_8,2014Q4,https://web.archive.org/web/20220526044621id_/https://www.yuantaetfs.com/product/detail/0050/ratio,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_ratio_20220526044621__product_detail_0050_ratio.html,https://www.yuantaetfs.com/product/detail/0050/\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF買回撤回申請書.pdf,https://www.yuantaetfs.com/product/detail/0050/\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF買回撤回申請書.pdf,quoted_pdf,true,"ETF申購撤回申請書.pdf""},{Name:""ETF買回撤回申請書"",EName:""Buyback withdrawal application"",Url:""https:\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF買回撤回申請書.pdf""},{Name:""現金替代申請書"",EName:""Cash Replacemen"
2014Q4_yuantaetfs_download_20220526050142_1,2014Q4,https://web.archive.org/web/20220526050142id_/https://www.yuantaetfs.com/product/detail/0050/download,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_download_20220526050142__product_detail_0050_download.html,https://www.yuantaetfs.com/product/detail/0050/Basic_information,https://www.yuantaetfs.com/product/detail/0050/Basic_information,html_attr,true,"v class=""maskBox"" data-v-361b1b46><div data-v-361b1b46 data-v-538a453a><a href=""/product/detail/0050/Basic_information"" target="""" data-v-538a453a> 基本資訊 </a></div><div data-v-361b1b46 data-v-538a453a><a href=""/pro"
2014Q4_yuantaetfs_download_20220526050142_2,2014Q4,https://web.archive.org/web/20220526050142id_/https://www.yuantaetfs.com/product/detail/0050/download,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_download_20220526050142__product_detail_0050_download.html,https://www.yuantaetfs.com/product/detail/0050/ratio,https://www.yuantaetfs.com/product/detail/0050/ratio,html_attr,true," 基本資訊 </a></div><div data-v-361b1b46 data-v-538a453a><a href=""/product/detail/0050/ratio"" target="""" data-v-538a453a> 持股比重 </a></div><div data-v-361b1b46 data-v-538a453a><a href=""/tra"
2014Q4_yuantaetfs_download_20220526050142_3,2014Q4,https://web.archive.org/web/20220526050142id_/https://www.yuantaetfs.com/product/detail/0050/download,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_download_20220526050142__product_detail_0050_download.html,https://www.yuantaetfs.com/tradeInfo/pcf/0050,https://www.yuantaetfs.com/tradeInfo/pcf/0050,html_attr,true," 持股比重 </a></div><div data-v-361b1b46 data-v-538a453a><a href=""/tradeInfo/pcf/0050"" target=""_blank"" data-v-538a453a> 申購買回清單 </a></div><div data-v-361b1b46 data-v-538a453a><a da"
2014Q4_yuantaetfs_download_20220526050142_4,2014Q4,https://web.archive.org/web/20220526050142id_/https://www.yuantaetfs.com/product/detail/0050/download,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_download_20220526050142__product_detail_0050_download.html,https://www.yuantaetfs.com/product/detail/0050/PD,https://www.yuantaetfs.com/product/detail/0050/PD,html_attr,true," 基金配息 </a></div><div data-v-361b1b46 data-v-538a453a><a href=""/product/detail/0050/PD"" target="""" data-v-538a453a> 參與券商/流動量券商 </a></div><div data-v-361b1b46 data-v-538a453a><a href"
2014Q4_yuantaetfs_download_20220526050142_5,2014Q4,https://web.archive.org/web/20220526050142id_/https://www.yuantaetfs.com/product/detail/0050/download,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_download_20220526050142__product_detail_0050_download.html,https://www.yuantaetfs.com/product/detail/0050/download,https://www.yuantaetfs.com/product/detail/0050/download,html_attr,true," 參與券商/流動量券商 </a></div><div data-v-361b1b46 data-v-538a453a><a href=""/product/detail/0050/download"" target="""" class=""nuxt-link-exact-active nuxt-link-active on"" data-v-538a453a> 檔案下載 </a></div"
2014Q4_yuantaetfs_download_20220526050142_6,2014Q4,https://web.archive.org/web/20220526050142id_/https://www.yuantaetfs.com/product/detail/0050/download,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_download_20220526050142__product_detail_0050_download.html,https://www.yuantaetfs.com/product/detail/0050/\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF申購撤回申請書.pdf,https://www.yuantaetfs.com/product/detail/0050/\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF申購撤回申請書.pdf,quoted_pdf,true,"leListData:[{Name:""ETF申購撤回申請書"",EName:""Subscription Withdrawal Application"",Url:""https:\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF申購撤回申請書.pdf""},{Name:""ETF買回撤回申請書"",EName:""Buyback with"
2014Q4_yuantaetfs_download_20220526050142_7,2014Q4,https://web.archive.org/web/20220526050142id_/https://www.yuantaetfs.com/product/detail/0050/download,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_download_20220526050142__product_detail_0050_download.html,https://www.yuantaetfs.com/product/detail/0050/\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF買回撤回申請書.pdf,https://www.yuantaetfs.com/product/detail/0050/\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF買回撤回申請書.pdf,quoted_pdf,true,"ETF申購撤回申請書.pdf""},{Name:""ETF買回撤回申請書"",EName:""Buyback withdrawal application"",Url:""https:\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF買回撤回申請書.pdf""},{Name:""現金替代申請書"",EName:""Cash Replacemen"
2014Q4_yuantaetfs_download_20220526050142_8,2014Q4,https://web.archive.org/web/20220526050142id_/https://www.yuantaetfs.com/product/detail/0050/download,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_download_20220526050142__product_detail_0050_download.html,https://www.yuantaetfs.com/product/detail/0050/\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002F現金替代申請書.pdf,https://www.yuantaetfs.com/product/detail/0050/\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002F現金替代申請書.pdf,quoted_pdf,true,"u002FETF買回撤回申請書.pdf""},{Name:""現金替代申請書"",EName:""Cash Replacement Application"",Url:""https:\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002F現金替代申請書.pdf""},{Name:""現金申贖申購申請書"",EName:""Cash Subscriptio"
2016Q1_yuantaetfs_basic_information_20211129022344_1,2016Q1,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/Basic_information,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2016Q1_yuantaetfs_basic_information_20211129022344__product_detail_0050_Basic_information.html,https://www.yuantaetfs.com/product/detail/0050/Basic_information,https://www.yuantaetfs.com/product/detail/0050/Basic_information,html_attr,true,"v class=""maskBox"" data-v-361b1b46><div data-v-361b1b46 data-v-538a453a><a href=""/product/detail/0050/Basic_information"" target="""" class=""nuxt-link-exact-active nuxt-link-active on"" data-v-538a453a> 基本資訊 </a></div"
2016Q1_yuantaetfs_basic_information_20211129022344_2,2016Q1,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/Basic_information,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2016Q1_yuantaetfs_basic_information_20211129022344__product_detail_0050_Basic_information.html,https://www.yuantaetfs.com/product/detail/0050/ratio,https://www.yuantaetfs.com/product/detail/0050/ratio,html_attr,true," 基本資訊 </a></div><div data-v-361b1b46 data-v-538a453a><a href=""/product/detail/0050/ratio"" target="""" data-v-538a453a> 持股比重 </a></div><div data-v-361b1b46 data-v-538a453a><a href=""/tra"
2016Q1_yuantaetfs_basic_information_20211129022344_3,2016Q1,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/Basic_information,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2016Q1_yuantaetfs_basic_information_20211129022344__product_detail_0050_Basic_information.html,https://www.yuantaetfs.com/tradeInfo/pcf/0050,https://www.yuantaetfs.com/tradeInfo/pcf/0050,html_attr,true," 持股比重 </a></div><div data-v-361b1b46 data-v-538a453a><a href=""/tradeInfo/pcf/0050"" target=""_blank"" data-v-538a453a> 申購買回清單 </a></div><div data-v-361b1b46 data-v-538a453a><a da"
2016Q1_yuantaetfs_basic_information_20211129022344_4,2016Q1,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/Basic_information,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2016Q1_yuantaetfs_basic_information_20211129022344__product_detail_0050_Basic_information.html,https://www.yuantaetfs.com/product/detail/0050/PD,https://www.yuantaetfs.com/product/detail/0050/PD,html_attr,true," 基金配息 </a></div><div data-v-361b1b46 data-v-538a453a><a href=""/product/detail/0050/PD"" target="""" data-v-538a453a> 參與券商/流動量券商 </a></div><div data-v-361b1b46 data-v-538a453a><a href"
2016Q1_yuantaetfs_basic_information_20211129022344_5,2016Q1,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/Basic_information,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2016Q1_yuantaetfs_basic_information_20211129022344__product_detail_0050_Basic_information.html,https://www.yuantaetfs.com/product/detail/0050/download,https://www.yuantaetfs.com/product/detail/0050/download,html_attr,true," 參與券商/流動量券商 </a></div><div data-v-361b1b46 data-v-538a453a><a href=""/product/detail/0050/download"" target="""" data-v-538a453a> 檔案下載 </a></div></div></div> <!----></div></div> <div class=""produ"
2016Q1_yuantaetfs_basic_information_20211129022344_6,2016Q1,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/Basic_information,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2016Q1_yuantaetfs_basic_information_20211129022344__product_detail_0050_Basic_information.html,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIyNCIgaGVpZ2h0PSIyNCIgdmlld0JveD0iMCAwIDI0IDI0Ij4NCiAgICA8ZyBmaWxsPSJub25lIiBmaWxsLXJ1bGU9ImV2ZW5vZGQiPg0KICAgICAgICA8Y2lyY2xlIGN4PSIxMiIgY3k9IjEyIiByPSI4IiBzdHJva2U9IiMwMjVEQTMiIHN0cm9rZS13aWR0aD0iMS41Ii8+DQogICAgICAgIDxwYXRoIHN0cm9rZT0iIzAyNURBMyIgc3Ryb2tlLWxpbmVjYXA9InJvdW5kIiBzdHJva2UtbGluZWpvaW49InJvdW5kIiBzdHJva2Utd2lkdGg9IjIiIGQ9Ik0xMiAxMS41djUiLz4NCiAgICAgICAgPGNpcmNsZSBjeD0iMTIiIGN5PSI4LjI1IiByPSIxLjI1IiBmaWxsPSIjMDI1REEzIi8+DQogICAgPC9nPg0KPC9zdmc+DQo=","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIyNCIgaGVpZ2h0PSIyNCIgdmlld0JveD0iMCAwIDI0IDI0Ij4NCiAgICA8ZyBmaWxsPSJub25lIiBmaWxsLXJ1bGU9ImV2ZW5vZGQiPg0KICAgICAgICA8Y2lyY2xlIGN4PSIxMiIgY3k9IjEyIiByPSI4IiBzdHJva2U9IiMwMjVEQTMiIHN0cm9rZS13aWR0aD0iMS41Ii8+DQogICAgICAgIDxwYXRoIHN0cm9rZT0iIzAyNURBMyIgc3Ryb2tlLWxpbmVjYXA9InJvdW5kIiBzdHJva2UtbGluZWpvaW49InJvdW5kIiBzdHJva2Utd2lkdGg9IjIiIGQ9Ik0xMiAxMS41djUiLz4NCiAgICAgICAgPGNpcmNsZSBjeD0iMTIiIGN5PSI4LjI1IiByPSIxLjI1IiBmaWxsPSIjMDI1REEzIi8+DQogICAgPC9nPg0KPC9zdmc+DQo=",html_attr,true," col-17 col-md-7 py-2 px-1 d-flex align-items-center"" data-v-078f8bb0><img src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIyNCIgaGVpZ2h0PSIyNCIgdmlld0JveD0iMCAwIDI0IDI0Ij4NCiAgICA8ZyBmaWxsPSJub2"
2016Q1_yuantaetfs_basic_information_20211129022344_7,2016Q1,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/Basic_information,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2016Q1_yuantaetfs_basic_information_20211129022344__product_detail_0050_Basic_information.html,https://www.yuantaetfs.com/product/detail/0050/\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF申購撤回申請書.pdf,https://www.yuantaetfs.com/product/detail/0050/\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF申購撤回申請書.pdf,quoted_pdf,true,"leListData:[{Name:""ETF申購撤回申請書"",EName:""Subscription Withdrawal Application"",Url:""https:\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF申購撤回申請書.pdf""},{Name:""ETF買回撤回申請書"",EName:""Buyback with"
