period,local_A_to_E_classification,rows
P1,B_raw_plus_adjusted_factor_reconstructable,166
P1,C_trusted_trade_evidence_official_raw_gap_local_only,318
P1,D_raw_ready_adjusted_factor_incomplete_unadjusted_research_fallback,1
P1,E_market_session_open_ticker_trade_unclassified_local_only,25843
P1,E_no_market_session_local_candidate_no_trade_or_holiday_review,85
P1,E_official_no_trade_or_NA_no_analysis_gap,1015
P2,B_raw_plus_adjusted_factor_reconstructable,1208
P2,C_trusted_trade_evidence_official_raw_gap_local_only,520
P2,D_raw_ready_adjusted_factor_incomplete_unadjusted_research_fallback,2
P2,E_market_session_open_ticker_trade_unclassified_local_only,4
