phase,ticker,name,market,report_period,period_scope,sample_policy,source_universe_quality,historical_pit_universe_ready,planned_routes,expected_route_budget_per_ticker_period,budget_guard_per_ticker_period,official_asof_required,after_close_next_trading_day_policy_required,unmatched_or_ambiguous_policy,quarter_end_date_available_at_allowed,query_response_datetime_available_at_allowed,conservative_deadline_proxy_allowed_for_official_route,accepted_for_runner_execution,accepted_for_materialization,accepted_for_experiments,accepted_for_formal,diagnostic_only,not_live_rule,forward_returns_live_rule_usage,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay
phase_2_tpex_100x4_recent,1777,生泰,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,1777,生泰,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,1815,富喬,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,1815,富喬,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,1815,富喬,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,1815,富喬,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,2073,雄順,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,2073,雄順,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,2073,雄順,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,2073,雄順,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,2719,燦星旅,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,2719,燦星旅,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,2719,燦星旅,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,2719,燦星旅,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,2745,五福,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,2745,五福,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,2745,五福,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,2745,五福,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,2937,集雅社,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,2937,集雅社,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,2937,集雅社,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,2937,集雅社,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3073,天方能源,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3073,天方能源,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3073,天方能源,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3073,天方能源,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3105,穩懋,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3105,穩懋,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3105,穩懋,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3105,穩懋,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3152,璟德,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3152,璟德,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3152,璟德,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3152,璟德,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3191,雲嘉南,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3191,雲嘉南,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3191,雲嘉南,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3191,雲嘉南,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3221,台嘉碩,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3221,台嘉碩,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3221,台嘉碩,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3221,台嘉碩,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3252,海灣,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3252,海灣,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3252,海灣,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3252,海灣,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3285,微端,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3285,微端,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3285,微端,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3285,微端,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3306,鼎天,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3306,鼎天,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3306,鼎天,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3306,鼎天,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3339,泰谷,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3339,泰谷,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3339,泰谷,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,3339,泰谷,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
