source,period,mode,method,url,http_code,content_type,post_body,date_field_detected,source_date,holdings_date,row_count,acceptance_decision,retrieved_path,error,notes
SITCA non-headless persisted Chrome,2021Q4,non_headless_persisted_profile,POST,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,200,text/html; charset=utf-8,__EVENTTARGET=&__EVENTARGUMENT=&__LASTFOCUS=&__VIEWSTATE=%2FwEPDwUINTM5ODAxNzgPZBYCZg9kFgICAw9kFgQCAQ8PFgIeBFRleHRlZGQCAw9kFgYCBQ8QZBAVFwcyMDA05bm0BzIwMDXlubQHMjAwNuW5tAcyMDA35bm0BzIwMDjlubQHMjAwOeW5tAcyMDEw5bm0BzIwMTHlubQHMjAxMuW5tAcyMDEz5bm0BzIwMTTlubQHMjAxNeW5tAcyMDE25bm0BzIwMTflubQHMjAxOOW5tAcyMDE55bm0BzIwMjDlubQHMjAyMeW5tAcyMDIy5bm0BzIwMjPlubQHMjAyNOW5tAcyMDI15bm0BzIwMjblubQVFwQyMDA0BDIwMDUEMjAwNgQyMDA3BDIwMDgEMjAwOQQyMDEwBDIwMTEEMjAxMgQyMDEzBDIwMTQEMjAxNQQyMDE2BDIwMTcEMjAxOAQyMDE5BDIwMjAEMjAyMQQyMDIyBDIwMjMEMjAyNAQyMDI1BDIwMjYUKwMXZ2dnZ2dnZ2dnZ2dnZ2dnZ2dnZ2dnZ2dkZAIHDxBkEBUMBTAx5pyIBTAy5pyIBTAz5pyIBTA05pyIBTA15pyIBTA25pyIBTA35pyIBTA45pyIBTA55pyIBTEw5pyIBTEx5pyIBTEy5pyIFQwCMDECMDICMDMCMDQCMDUCMDYCMDcCMDgCMDkCMTACMTECMTIUKwMMZ2dnZ2dnZ2dnZ2dnZGQCEw9kFgICAQ9kFgJmD2QWAmYPZBYCZg8PFgIeB1Zpc2libGVnZGQYAQUeX19Db250cm9sc1JlcXVpcmVQb3N0QmFja0tleV9fFgEFImN0bDAwJENvbnRlbnRQbGFjZUhvbGRlcjEkQnRuUXVlcnmdsE9P9T3r3aZyjGzMiN%2BclPT5HPVUoIjyeWr%2BrHHhmA%3D%3D&__VIEWSTATEGENERATOR=D81102BD&__EVENTVALIDATION=%2FwEdACbH1JprNqV9ZCWxbSuSyuLFkTUeqDAyidD3NGchKfO%2B3NmC%2FgdT5kZ8gc2J0GrOKuaXmAATQcb5I%2FB9THwLzyGlRyttEqPASBuv1szRqONfUGSOULC2T%2FcUsaT8hHARNOrP88Kdi%2Fae1xYIF4UnBZEn3CPKCJvqXYe%2FaEwkdHJECn14DxBwwHmaeol4SLAxmZ3Jksit5mzDCnKuCn2LkrMv5AxLqwizKGZnDeeqqx2knIme%2Buy8c7X2%2FlvEhgmeSK2%2Bml%2F%2FpnsBxo4XmBx0zX5EjA%2FKz3dvBEwmzMpKomX06o4PNI6GFVotf0j3uoq9qpOJZOt0q04ajoIg4hrFUnwibmJMhL7Pv5eQfvkqJQmtYxhgv8W5I9K%2BB0i7A2W64r5xP9hEhxEidRyysPdv1Kd5d%2BN9AYGibIa%2F6H49yf3XP%2BTsMzwuLwlZRVe1Gq4pI9yhIRFj5%2BMblcutck944mmYJx4N4MaApIdUeeVuHxlV6GB3D4Jy7FseA3n3oYPXErmscURoalxz0Ah2Y8hVER6u3W%2FmSK2dqcl5qbUknvvj1qGSRxjur4gl%2FZnLe2fStXc5hnoETHEK7TRbhguu41O1C14EnLNfyOEBFuKThJhF26y%2FV6Tb31m6lhH6V60%2Fq%2FxOjY65ud5kI%2FBmTwK09dyqGbr6pTNQTBnnOKrD%2B4ZcqNJeDyxSufz3yGE9KwYz8Qle1HakEyJoFszJqDfWGjJQMI483u83yBhDH%2BvZCCOtsOw7Xrs0Jvrrxm%2Fu4uFGxPNuIWM1LpxuaQygVY32JIIqSD4EpknTatUTh4XJRQ%2FIaj6uHJfJdQ%2BxKO1jJM6OG7t0q7%2BMAILDHA8yI%2FanTlqS&ctl00%24ContentPlaceHolder1%24ddlQ_YEAR=2021&ctl00%24ContentPlaceHolder1%24ddlQ_MONTH=12&ctl00%24ContentPlaceHolder1%24BtnQuery.x=0&ctl00%24ContentPlaceHolder1%24BtnQuery.y=0,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2021Q4_286.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2021Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/WDataStyle.css,200,text/css,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2021Q4_287.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2021Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/css/mod_settings.css,200,text/css,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2021Q4_288.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2021Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/lib/tablerow.js,200,application/x-javascript,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2021Q4_289.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2021Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/css/menu.css,404,text/html,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2021Q4_290.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2021Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/css/table1.css,200,text/css,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2021Q4_291.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2021Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/css/layout1.css,200,text/css,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2021Q4_292.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2021Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/image/MorningStar.jpg,200,image/jpeg,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2021Q4_293.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2021Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/image/Bt_query.gif,200,image/gif,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2021Q4_294.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2021Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/image/arrowd.gif,200,image/gif,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2021Q4_295.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2021Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/Common/popcalendarfordata.htm,200,text/html,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2021Q4_296.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2021Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/image/bg_th_blue.gif,200,image/gif,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2021Q4_297.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2021Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/image/bg_td_blue.gif,200,image/gif,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2021Q4_298.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2023Q4,non_headless_persisted_profile,POST,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,200,text/html; charset=utf-8,__EVENTTARGET=&__EVENTARGUMENT=&__LASTFOCUS=&__VIEWSTATE=%2FwEPDwUINTM5ODAxNzgPZBYCZg9kFgICAw9kFgQCAQ8PFgIeBFRleHRlZGQCAw9kFgYCBQ8QZBAVFwcyMDA05bm0BzIwMDXlubQHMjAwNuW5tAcyMDA35bm0BzIwMDjlubQHMjAwOeW5tAcyMDEw5bm0BzIwMTHlubQHMjAxMuW5tAcyMDEz5bm0BzIwMTTlubQHMjAxNeW5tAcyMDE25bm0BzIwMTflubQHMjAxOOW5tAcyMDE55bm0BzIwMjDlubQHMjAyMeW5tAcyMDIy5bm0BzIwMjPlubQHMjAyNOW5tAcyMDI15bm0BzIwMjblubQVFwQyMDA0BDIwMDUEMjAwNgQyMDA3BDIwMDgEMjAwOQQyMDEwBDIwMTEEMjAxMgQyMDEzBDIwMTQEMjAxNQQyMDE2BDIwMTcEMjAxOAQyMDE5BDIwMjAEMjAyMQQyMDIyBDIwMjMEMjAyNAQyMDI1BDIwMjYUKwMXZ2dnZ2dnZ2dnZ2dnZ2dnZ2dnZ2dnZ2dkZAIHDxBkEBUMBTAx5pyIBTAy5pyIBTAz5pyIBTA05pyIBTA15pyIBTA25pyIBTA35pyIBTA45pyIBTA55pyIBTEw5pyIBTEx5pyIBTEy5pyIFQwCMDECMDICMDMCMDQCMDUCMDYCMDcCMDgCMDkCMTACMTECMTIUKwMMZ2dnZ2dnZ2dnZ2dnZGQCEw9kFgICAQ9kFgJmD2QWAmYPZBYCZg8PFgIeB1Zpc2libGVnZGQYAQUeX19Db250cm9sc1JlcXVpcmVQb3N0QmFja0tleV9fFgEFImN0bDAwJENvbnRlbnRQbGFjZUhvbGRlcjEkQnRuUXVlcnmdsE9P9T3r3aZyjGzMiN%2BclPT5HPVUoIjyeWr%2BrHHhmA%3D%3D&__VIEWSTATEGENERATOR=D81102BD&__EVENTVALIDATION=%2FwEdACbH1JprNqV9ZCWxbSuSyuLFkTUeqDAyidD3NGchKfO%2B3NmC%2FgdT5kZ8gc2J0GrOKuaXmAATQcb5I%2FB9THwLzyGlRyttEqPASBuv1szRqONfUGSOULC2T%2FcUsaT8hHARNOrP88Kdi%2Fae1xYIF4UnBZEn3CPKCJvqXYe%2FaEwkdHJECn14DxBwwHmaeol4SLAxmZ3Jksit5mzDCnKuCn2LkrMv5AxLqwizKGZnDeeqqx2knIme%2Buy8c7X2%2FlvEhgmeSK2%2Bml%2F%2FpnsBxo4XmBx0zX5EjA%2FKz3dvBEwmzMpKomX06o4PNI6GFVotf0j3uoq9qpOJZOt0q04ajoIg4hrFUnwibmJMhL7Pv5eQfvkqJQmtYxhgv8W5I9K%2BB0i7A2W64r5xP9hEhxEidRyysPdv1Kd5d%2BN9AYGibIa%2F6H49yf3XP%2BTsMzwuLwlZRVe1Gq4pI9yhIRFj5%2BMblcutck944mmYJx4N4MaApIdUeeVuHxlV6GB3D4Jy7FseA3n3oYPXErmscURoalxz0Ah2Y8hVER6u3W%2FmSK2dqcl5qbUknvvj1qGSRxjur4gl%2FZnLe2fStXc5hnoETHEK7TRbhguu41O1C14EnLNfyOEBFuKThJhF26y%2FV6Tb31m6lhH6V60%2Fq%2FxOjY65ud5kI%2FBmTwK09dyqGbr6pTNQTBnnOKrD%2B4ZcqNJeDyxSufz3yGE9KwYz8Qle1HakEyJoFszJqDfWGjJQMI483u83yBhDH%2BvZCCOtsOw7Xrs0Jvrrxm%2Fu4uFGxPNuIWM1LpxuaQygVY32JIIqSD4EpknTatUTh4XJRQ%2FIaj6uHJfJdQ%2BxKO1jJM6OG7t0q7%2BMAILDHA8yI%2FanTlqS&ctl00%24ContentPlaceHolder1%24ddlQ_YEAR=2023&ctl00%24ContentPlaceHolder1%24ddlQ_MONTH=12&ctl00%24ContentPlaceHolder1%24BtnQuery.x=0&ctl00%24ContentPlaceHolder1%24BtnQuery.y=0,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2023Q4_299.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2023Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/WDataStyle.css,200,text/css,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2023Q4_300.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2023Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/css/mod_settings.css,200,text/css,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2023Q4_301.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2023Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/lib/tablerow.js,200,application/x-javascript,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2023Q4_302.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2023Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/css/menu.css,404,text/html,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2023Q4_303.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2023Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/css/table1.css,200,text/css,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2023Q4_304.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2023Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/css/layout1.css,200,text/css,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2023Q4_305.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2023Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/image/MorningStar.jpg,200,image/jpeg,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2023Q4_306.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2023Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/image/Bt_query.gif,200,image/gif,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2023Q4_307.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2023Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/image/arrowd.gif,200,image/gif,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2023Q4_308.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2023Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/Common/popcalendarfordata.htm,200,text/html,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2023Q4_309.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2023Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/image/bg_th_blue.gif,200,image/gif,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2023Q4_310.html,,set year/month without dispatch and click query
SITCA non-headless persisted Chrome,2023Q4,non_headless_persisted_profile,GET,https://www.sitca.org.tw/image/bg_td_blue.gif,200,image/gif,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_2023Q4_311.html,,set year/month without dispatch and click query
