file,source_url,source_title,source_date,download_status,parse_status,exact_or_proxy
tip_1055_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1055/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股定期審核結果,2025/06/06,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_1002_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1002/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股定期審核結果,2025/03/07,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_976_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/976/tw,"臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：AES Holding Co., Ltd.納入指數成分股",2024/12/24,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_974_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/974/tw,"臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：AES Holding Co., Ltd.納入成分股延期",2024/12/19,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_961_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/961/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股定期審核結果,2024/12/06,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_918_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/918/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股定期審核結果,2024/09/06,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_883_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/883/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股定期審核結果,2024/06/07,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_834_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/834/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股定期審核結果,2024/03/01,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_800_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/800/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股定期審核結果,2023/12/01,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_764_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/764/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股審核,2023/09/01,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_719_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/719/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股審核,2023/06/03,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_683_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/683/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股審核,2023/03/04,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_654_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/654/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股審核,2022/12/03,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_629_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/629/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股審核,2022/09/03,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_604_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/604/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股審核,2022/06/03,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_569_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/569/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股審核,2022/03/05,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
