signal_date,signal_family,variant,ticker,name,timing_variant,entry_date,exit_date,entry_price_kind,entry_ready,exit_ready,path_ready,blocked_reason,adjusted_close_ready
2015-01-09,regime_switch,market_bias_pool_trend_route,2330,台積電,next_day_close_entry_fixed_5td_exit,2015-01-12,2015-01-19,close,true,true,true,,false
2015-01-09,regime_switch,market_bias_pool_trend_route,2330,台積電,next_day_open_entry_fixed_5td_exit,2015-01-12,2015-01-19,open,true,true,true,,false
2015-01-09,regime_switch,pool_breadth_route,2330,台積電,same_week_close_to_next_rebalance_close_comparator,2015-01-09,2015-01-16,close,true,true,true,,false
2015-01-09,regime_switch,pool_breadth_route,2330,台積電,next_day_close_entry_fixed_5td_exit,2015-01-12,2015-01-19,close,true,true,true,,false
2015-01-09,regime_switch,pool_breadth_route,2330,台積電,next_day_open_entry_fixed_5td_exit,2015-01-12,2015-01-19,open,true,true,true,,false
2015-01-16,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,1314,中石化,same_week_close_to_next_rebalance_close_comparator,2015-01-16,2015-01-23,close,true,true,true,,false
2015-01-16,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,1314,中石化,next_day_close_entry_fixed_5td_exit,2015-01-19,2015-01-26,close,true,true,true,,false
2015-01-16,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,1314,中石化,next_day_open_entry_fixed_5td_exit,2015-01-19,2015-01-26,open,true,true,true,,false
2015-01-16,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,1101,台泥,same_week_close_to_next_rebalance_close_comparator,2015-01-16,2015-01-23,close,true,true,true,,false
2015-01-16,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,1101,台泥,next_day_close_entry_fixed_5td_exit,2015-01-19,2015-01-26,close,true,true,true,,false
2015-01-16,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,1101,台泥,next_day_open_entry_fixed_5td_exit,2015-01-19,2015-01-26,open,true,true,true,,false
2015-01-16,legacy_rs20,dynamic80_top1_rs20_proxy,1101,台泥,same_week_close_to_next_rebalance_close_comparator,2015-01-16,2015-01-23,close,true,true,true,,false
2015-01-16,legacy_rs20,dynamic80_top1_rs20_proxy,1101,台泥,next_day_close_entry_fixed_5td_exit,2015-01-19,2015-01-26,close,true,true,true,,false
2015-01-16,legacy_rs20,dynamic80_top1_rs20_proxy,1101,台泥,next_day_open_entry_fixed_5td_exit,2015-01-19,2015-01-26,open,true,true,true,,false
2015-01-16,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,1301,台塑,same_week_close_to_next_rebalance_close_comparator,2015-01-16,2015-01-23,close,true,true,true,,false
2015-01-16,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,1301,台塑,next_day_close_entry_fixed_5td_exit,2015-01-19,2015-01-26,close,true,true,true,,false
2015-01-16,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,1301,台塑,next_day_open_entry_fixed_5td_exit,2015-01-19,2015-01-26,open,true,true,true,,false
2015-01-16,regime_switch,dispersion_route,2330,台積電,same_week_close_to_next_rebalance_close_comparator,2015-01-16,2015-01-23,close,true,true,true,,false
2015-01-16,regime_switch,dispersion_route,2330,台積電,next_day_close_entry_fixed_5td_exit,2015-01-19,2015-01-26,close,true,true,true,,false
2015-01-16,regime_switch,dispersion_route,2330,台積電,next_day_open_entry_fixed_5td_exit,2015-01-19,2015-01-26,open,true,true,true,,false
2015-01-16,regime_switch,hybrid_pullback_base_mega_override,2330,台積電,same_week_close_to_next_rebalance_close_comparator,2015-01-16,2015-01-23,close,true,true,true,,false
2015-01-16,regime_switch,hybrid_pullback_base_mega_override,2330,台積電,next_day_close_entry_fixed_5td_exit,2015-01-19,2015-01-26,close,true,true,true,,false
2015-01-16,regime_switch,hybrid_pullback_base_mega_override,2330,台積電,next_day_open_entry_fixed_5td_exit,2015-01-19,2015-01-26,open,true,true,true,,false
2015-01-16,regime_switch,market_bias_pool_trend_route,2330,台積電,same_week_close_to_next_rebalance_close_comparator,2015-01-16,2015-01-23,close,true,true,true,,false
2015-01-16,regime_switch,market_bias_pool_trend_route,2330,台積電,next_day_close_entry_fixed_5td_exit,2015-01-19,2015-01-26,close,true,true,true,,false
2015-01-16,regime_switch,market_bias_pool_trend_route,2330,台積電,next_day_open_entry_fixed_5td_exit,2015-01-19,2015-01-26,open,true,true,true,,false
2015-01-16,regime_switch,pool_breadth_route,2330,台積電,same_week_close_to_next_rebalance_close_comparator,2015-01-16,2015-01-23,close,true,true,true,,false
2015-01-16,regime_switch,pool_breadth_route,2330,台積電,next_day_close_entry_fixed_5td_exit,2015-01-19,2015-01-26,close,true,true,true,,false
2015-01-16,regime_switch,pool_breadth_route,2330,台積電,next_day_open_entry_fixed_5td_exit,2015-01-19,2015-01-26,open,true,true,true,,false
2015-01-23,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,1303,南亞,same_week_close_to_next_rebalance_close_comparator,2015-01-23,2015-01-30,close,true,true,true,,false
2015-01-23,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,1303,南亞,next_day_close_entry_fixed_5td_exit,2015-01-26,2015-02-02,close,true,true,true,,false
2015-01-23,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,1303,南亞,next_day_open_entry_fixed_5td_exit,2015-01-26,2015-02-02,open,true,true,true,,false
