ticker,name,market,event_type,event_date,source_date,source_url,source_id,source_type,formal_ready,blocked_reason,raw_event_date,notes
1788,杏昌,TPEx,suspension,2026-06-18,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150618,TPEx historical suspended/resumed trading endpoint.
1788,杏昌,TPEx,resumption,2026-06-22,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150622,TPEx historical suspended/resumed trading endpoint.
1799,易威,TPEx,suspension,2026-03-12,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150312,TPEx historical suspended/resumed trading endpoint.
1799,易威,TPEx,resumption,2026-03-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150313,TPEx historical suspended/resumed trading endpoint.
3226,龍鋒,TPEx,suspension,2026-01-09,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150109,TPEx historical suspended/resumed trading endpoint.
3226,龍鋒,TPEx,resumption,2026-01-12,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150112,TPEx historical suspended/resumed trading endpoint.
3426,台興,TPEx,suspension,2026-02-09,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150209,TPEx historical suspended/resumed trading endpoint.
3426,台興,TPEx,resumption,2026-02-10,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150210,TPEx historical suspended/resumed trading endpoint.
4127,天良,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
4127,天良,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
4130,健亞,TPEx,suspension,2026-03-12,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150312,TPEx historical suspended/resumed trading endpoint.
4130,健亞,TPEx,resumption,2026-03-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150313,TPEx historical suspended/resumed trading endpoint.
4303,信立,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
4303,信立,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
4987,科誠,TPEx,suspension,2026-02-09,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150209,TPEx historical suspended/resumed trading endpoint.
4987,科誠,TPEx,resumption,2026-02-10,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150210,TPEx historical suspended/resumed trading endpoint.
5263,智崴,TPEx,suspension,2026-01-21,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150121,TPEx historical suspended/resumed trading endpoint.
5263,智崴,TPEx,resumption,2026-01-22,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150122,TPEx historical suspended/resumed trading endpoint.
52635,智崴五,TPEx,suspension,2026-01-21,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150121,TPEx historical suspended/resumed trading endpoint.
52635,智崴五,TPEx,resumption,2026-01-22,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150122,TPEx historical suspended/resumed trading endpoint.
5314,世紀*,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
5314,世紀*,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
6474,華豫寧,TPEx,suspension,2026-06-15,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150615,TPEx historical suspended/resumed trading endpoint.
6474,華豫寧,TPEx,resumption,2026-06-16,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150616,TPEx historical suspended/resumed trading endpoint.
68061,森崴能源一,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
68061,森崴能源一,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
700062,信立國票55購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
700062,信立國票55購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
700408,信立富邦56購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
700408,信立富邦56購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
700471,信立凱基56購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
700471,信立凱基56購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
700609,信立凱基56購02,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
700609,信立凱基56購02,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
700708,信立統一6A購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
700708,信立統一6A購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
700803,信立兆豐56購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
700803,信立兆豐56購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
700827,信立永豐5A購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
700827,信立永豐5A購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
701367,信立國票56購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
701367,信立國票56購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
701614,信立元大5B購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
701614,信立元大5B購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
701665,信立群益55購02,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
701665,信立群益55購02,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
701739,信立凱基55購02,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
701739,信立凱基55購02,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
701908,信立凱基5B購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
701908,信立凱基5B購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
701938,信立國泰56購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
701938,信立國泰56購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
702047,信立元大59購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
702047,信立元大59購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
702683,信立國票57購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
702683,信立國票57購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
702791,信立凱基57購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
702791,信立凱基57購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
703103,世紀*凱基56購01,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
703103,世紀*凱基56購01,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
703104,世紀*凱基56購02,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
703104,世紀*凱基56購02,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
703105,世紀*凱基56購03,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
703105,世紀*凱基56購03,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
703114,世紀*國票57購01,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
703114,世紀*國票57購01,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
703138,世紀*元富56購01,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
703138,世紀*元富56購01,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
703139,世紀*元富56購02,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
703139,世紀*元富56購02,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
703146,世紀*永豐57購01,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
703146,世紀*永豐57購01,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
703151,世紀*群益57購01,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
703151,世紀*群益57購01,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
703205,世紀*群益56購01,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
703205,世紀*群益56購01,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
703412,世紀*元大57購01,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
