signal_date,entry_date,exit_date,ticker,name,market,route_variant,source_family,timing_variant,entry_open_available,entry_close_available,exit_close_available,path_ready,blocked_reason,adjusted_close_ready,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2023-01-13,2023-01-16,2023-02-02,2327,國巨*,TWSE,market_bias_pool_trend_route,regime_switch_hybrid_route,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-13,2023-01-16,2023-02-02,1707,葡萄王,TWSE,pool_breadth_route,regime_switch_hybrid_route,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-13,2023-01-13,2023-01-17,1707,葡萄王,TWSE,pool_breadth_route,regime_switch_hybrid_route,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-13,2023-01-16,2023-02-02,1707,葡萄王,TWSE,pool_breadth_route,regime_switch_hybrid_route,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,5321,美而快,TPEx,dynamic80_top1_rs20_31_bonus_proxy,legacy_rs20_operating_mode,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-17,2023-02-03,5321,美而快,TPEx,dynamic80_top1_rs20_31_bonus_proxy,legacy_rs20_operating_mode,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,5321,美而快,TPEx,dynamic80_top1_rs20_31_bonus_proxy,legacy_rs20_operating_mode,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,5321,美而快,TPEx,dynamic80_top1_rs20_7core_context_proxy,legacy_rs20_operating_mode,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-17,2023-02-03,5321,美而快,TPEx,dynamic80_top1_rs20_7core_context_proxy,legacy_rs20_operating_mode,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,5321,美而快,TPEx,dynamic80_top1_rs20_7core_context_proxy,legacy_rs20_operating_mode,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,5321,美而快,TPEx,dynamic80_top1_rs20_proxy,legacy_rs20_operating_mode,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-17,2023-02-03,5321,美而快,TPEx,dynamic80_top1_rs20_proxy,legacy_rs20_operating_mode,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,5321,美而快,TPEx,dynamic80_top1_rs20_proxy,legacy_rs20_operating_mode,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,5321,美而快,TPEx,dynamic80_top3_rs20_risk_tiebreak_proxy,legacy_rs20_operating_mode,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-17,2023-02-03,5321,美而快,TPEx,dynamic80_top3_rs20_risk_tiebreak_proxy,legacy_rs20_operating_mode,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,5321,美而快,TPEx,dynamic80_top3_rs20_risk_tiebreak_proxy,legacy_rs20_operating_mode,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,6806,森崴能源,TWSE,conservative_hurdle_route,regime_switch_hybrid_route,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-17,2023-02-03,6806,森崴能源,TWSE,conservative_hurdle_route,regime_switch_hybrid_route,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,6806,森崴能源,TWSE,conservative_hurdle_route,regime_switch_hybrid_route,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,6763,綠界科技,TPEx,dispersion_route,regime_switch_hybrid_route,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-17,2023-02-03,6763,綠界科技,TPEx,dispersion_route,regime_switch_hybrid_route,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,6763,綠界科技,TPEx,dispersion_route,regime_switch_hybrid_route,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,2327,國巨*,TWSE,hybrid_pullback_base_mega_override,regime_switch_hybrid_route,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-17,2023-02-03,2327,國巨*,TWSE,hybrid_pullback_base_mega_override,regime_switch_hybrid_route,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,2327,國巨*,TWSE,hybrid_pullback_base_mega_override,regime_switch_hybrid_route,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,2327,國巨*,TWSE,market_bias_pool_trend_route,regime_switch_hybrid_route,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-17,2023-02-03,2327,國巨*,TWSE,market_bias_pool_trend_route,regime_switch_hybrid_route,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,2327,國巨*,TWSE,market_bias_pool_trend_route,regime_switch_hybrid_route,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,9910,豐泰,TWSE,pool_breadth_route,regime_switch_hybrid_route,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-17,2023-02-03,9910,豐泰,TWSE,pool_breadth_route,regime_switch_hybrid_route,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-01-17,2023-01-30,2023-02-06,9910,豐泰,TWSE,pool_breadth_route,regime_switch_hybrid_route,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-06,2023-02-13,2482,連宇,TWSE,dynamic80_top1_rs20_31_bonus_proxy,legacy_rs20_operating_mode,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-03,2023-02-10,2482,連宇,TWSE,dynamic80_top1_rs20_31_bonus_proxy,legacy_rs20_operating_mode,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-06,2023-02-13,2482,連宇,TWSE,dynamic80_top1_rs20_31_bonus_proxy,legacy_rs20_operating_mode,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-06,2023-02-13,2482,連宇,TWSE,dynamic80_top1_rs20_7core_context_proxy,legacy_rs20_operating_mode,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-03,2023-02-10,2482,連宇,TWSE,dynamic80_top1_rs20_7core_context_proxy,legacy_rs20_operating_mode,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-06,2023-02-13,2482,連宇,TWSE,dynamic80_top1_rs20_7core_context_proxy,legacy_rs20_operating_mode,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-06,2023-02-13,2482,連宇,TWSE,dynamic80_top1_rs20_proxy,legacy_rs20_operating_mode,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-03,2023-02-10,2482,連宇,TWSE,dynamic80_top1_rs20_proxy,legacy_rs20_operating_mode,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-06,2023-02-13,2482,連宇,TWSE,dynamic80_top1_rs20_proxy,legacy_rs20_operating_mode,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-06,2023-02-13,2482,連宇,TWSE,dynamic80_top3_rs20_risk_tiebreak_proxy,legacy_rs20_operating_mode,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-03,2023-02-10,2482,連宇,TWSE,dynamic80_top3_rs20_risk_tiebreak_proxy,legacy_rs20_operating_mode,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-06,2023-02-13,2482,連宇,TWSE,dynamic80_top3_rs20_risk_tiebreak_proxy,legacy_rs20_operating_mode,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-06,2023-02-13,5274,信驊,TPEx,dispersion_route,regime_switch_hybrid_route,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-03,2023-02-10,5274,信驊,TPEx,dispersion_route,regime_switch_hybrid_route,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-06,2023-02-13,5274,信驊,TPEx,dispersion_route,regime_switch_hybrid_route,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-06,2023-02-13,5274,信驊,TPEx,hybrid_pullback_base_mega_override,regime_switch_hybrid_route,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-03,2023-02-10,5274,信驊,TPEx,hybrid_pullback_base_mega_override,regime_switch_hybrid_route,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-06,2023-02-13,5274,信驊,TPEx,hybrid_pullback_base_mega_override,regime_switch_hybrid_route,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-06,2023-02-13,5274,信驊,TPEx,market_bias_pool_trend_route,regime_switch_hybrid_route,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-03,2023-02-10,5274,信驊,TPEx,market_bias_pool_trend_route,regime_switch_hybrid_route,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-06,2023-02-13,5274,信驊,TPEx,market_bias_pool_trend_route,regime_switch_hybrid_route,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-06,2023-02-13,3680,家登,TPEx,pool_breadth_route,regime_switch_hybrid_route,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-03,2023-02-10,3680,家登,TPEx,pool_breadth_route,regime_switch_hybrid_route,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-03,2023-02-06,2023-02-13,3680,家登,TPEx,pool_breadth_route,regime_switch_hybrid_route,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-10,2023-02-13,2023-02-20,4763,材料*-KY,TWSE,dynamic80_top1_rs20_31_bonus_proxy,legacy_rs20_operating_mode,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-10,2023-02-10,2023-02-17,4763,材料*-KY,TWSE,dynamic80_top1_rs20_31_bonus_proxy,legacy_rs20_operating_mode,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-10,2023-02-13,2023-02-20,4763,材料*-KY,TWSE,dynamic80_top1_rs20_31_bonus_proxy,legacy_rs20_operating_mode,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-10,2023-02-13,2023-02-20,4763,材料*-KY,TWSE,dynamic80_top1_rs20_7core_context_proxy,legacy_rs20_operating_mode,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-10,2023-02-10,2023-02-17,4763,材料*-KY,TWSE,dynamic80_top1_rs20_7core_context_proxy,legacy_rs20_operating_mode,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-10,2023-02-13,2023-02-20,4763,材料*-KY,TWSE,dynamic80_top1_rs20_7core_context_proxy,legacy_rs20_operating_mode,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-10,2023-02-13,2023-02-20,4763,材料*-KY,TWSE,dynamic80_top1_rs20_proxy,legacy_rs20_operating_mode,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-10,2023-02-10,2023-02-17,4763,材料*-KY,TWSE,dynamic80_top1_rs20_proxy,legacy_rs20_operating_mode,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-10,2023-02-13,2023-02-20,4763,材料*-KY,TWSE,dynamic80_top1_rs20_proxy,legacy_rs20_operating_mode,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-10,2023-02-13,2023-02-20,4763,材料*-KY,TWSE,dynamic80_top3_rs20_risk_tiebreak_proxy,legacy_rs20_operating_mode,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-10,2023-02-10,2023-02-17,4763,材料*-KY,TWSE,dynamic80_top3_rs20_risk_tiebreak_proxy,legacy_rs20_operating_mode,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-10,2023-02-13,2023-02-20,4763,材料*-KY,TWSE,dynamic80_top3_rs20_risk_tiebreak_proxy,legacy_rs20_operating_mode,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-10,2023-02-13,2023-02-20,2453,凌群,TWSE,dispersion_route,regime_switch_hybrid_route,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-10,2023-02-10,2023-02-17,2453,凌群,TWSE,dispersion_route,regime_switch_hybrid_route,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-10,2023-02-13,2023-02-20,2453,凌群,TWSE,dispersion_route,regime_switch_hybrid_route,next_day_open_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-10,2023-02-13,2023-02-20,3027,盛達,TWSE,hybrid_pullback_base_mega_override,regime_switch_hybrid_route,next_day_close_entry_fixed_5td_exit,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
2023-02-10,2023-02-10,2023-02-17,3027,盛達,TWSE,hybrid_pullback_base_mega_override,regime_switch_hybrid_route,same_week_close_to_next_rebalance_close_comparator,true,true,true,true,,false,false,false,false,false,false,false,false,true,false
